task,latency,resource,observation,reward,cost,workload,conf
52,7.759,51.0,1.78;0.43;0.52;0.72;0.28;0.82;0.94;0.54;0.02;4.84;6.27;0.74;7.69;15.72;14.17;1.18;5.29;1.19;51.0;10;7.759,1.9,0,10,4;2;4;1;100;600;25;4;3;-1;3.1;60;4;2;1;2;1;1;3;11;160;4;1;3;3;320;288;1.1;1;3
53,7.951,45.0,1.13;0.81;0.54;0.67;0.28;0.29;0.62;0.71;0.02;4.81;5.52;0.8;7.78;13.52;13.39;1.48;5.76;1.48;45.0;10;7.951,4.7,0,10,4;2;4;1;100;700;24;3;3;0;3.3;50;4;1;2;3;2;2;4;12;288;3;1;2;2;288;256;1.6;1;3
54,10.767,45.0,1.41;0.7;0.49;1.99;0.26;0.75;0.62;0.82;0.02;4.59;6.19;0.77;8.06;10.06;13.25;1.79;15.0;1.21;45.0;10;10.767,0.5,0,10,3;3;3;1;100;600;24;4;2;1;3.5;40;4;2;2;3;1;1;4;11;160;3;1;1;3;288;256;1.6;2;2
55,66.047,46.0,1.31;0.55;0.43;3.63;0.22;0.97;0.9;0.72;0.02;4.18;9.39;0.73;6.48;8.31;13.66;1.59;12.68;0.73;46.0;10;66.047,0.5,0,10,4;3;2;2;90;700;23;4;1;2;3.5;30;3;1;3;3;1;2;4;11;288;4;1;2;3;320;288;1.6;2;1
56,10.527,59.0,1.41;0.3;0.7;1.54;0.24;1.05;0.92;1.19;0.02;4.83;8.41;0.73;6.24;5.58;17.56;1.34;12.83;0.56;59.0;10;10.527,1.0,0,10,4;3;3;3;80;700;24;4;2;3;3.7;20;2;2;4;3;1;1;4;12;288;4;1;1;3;288;320;1.1;3;2
57,7.731,57.0,0.47;0.0;0.36;5.36;0.0;0.0;0.68;0.83;0.03;4.23;6.84;0.65;19.16;4.72;9.27;1.18;18.89;0.4;57.0;10;7.731,2.4,0,10,4;3;3;2;90;600;23;4;3;2;3.5;30;1;2;4;3;2;1;3;11;160;4;1;1;3;288;288;1.6;4;1
59,99.839,40.0,1.93;0.38;0.42;3.82;0.42;0.93;0.94;0.82;0.02;5.38;8.78;0.71;20.17;4.15;7.18;1.03;15.72;0.48;40.0;10;99.839,0.5,0,10,3;2;2;2;100;800;23;4;1;1;3.5;30;1;1;4;2;2;2;2;13;288;4;1;3;1;320;320;1.1;3;2
60,10.471,30.0,0.86;0.0;0.43;3.54;0.0;0.0;0.45;0.81;0.02;4.88;7.12;0.97;8.33;4.73;17.55;0.73;9.38;0.78;30.0;10;10.471,8.0,0,10,3;2;3;1;90;800;22;3;2;2;3.5;40;2;1;4;1;1;1;1;14;160;4;1;2;1;288;288;1.6;2;1
61,8.815,25.0,1.46;0.76;0.53;0.76;0.53;1.27;0.8;0.83;0.02;8.69;9.4;1.23;10.62;5.73;19.67;0.86;15.75;1.12;25.0;10;8.815,4.5,0,10,2;2;2;1;100;900;23;2;3;2;3.3;30;3;1;3;1;1;1;1;13;288;3;1;1;2;288;288;1.6;1;1
62,17.615,24.0,1.08;0.74;0.55;3.15;0.61;1.08;0.6;0.63;0.02;7.91;16.1;2.09;6.35;8.05;20.39;0.72;18.94;1.49;24.0;10;17.615,1.2,0,10,2;3;1;1;100;900;24;1;2;1;3.3;40;4;1;2;1;1;1;2;13;416;4;1;1;2;288;320;1.1;1;2
